date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:55	216995/216995	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2018:41:46%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/preline/preline.js	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/preline/preline.js	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:55	9088/9088	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2018:41:26%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/@tarekraafat/autocomplete.js/autoComplete.min.js	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/@tarekraafat/autocomplete.js/autoComplete.min.js	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:55	65923/65923	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2018:41:56%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/simplebar/simplebar.min.js	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/simplebar/simplebar.min.js	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:56	75679/75679	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2018:41:26%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/@simonwep/pickr/pickr.es5.min.js	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/@simonwep/pickr/pickr.es5.min.js	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:56	50679/50679	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2018:41:40%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/flatpickr/flatpickr.min.js	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/flatpickr/flatpickr.min.js	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:56	8725/8725	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2018:44:38%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/js/projects-dashboard.js	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/js/projects-dashboard.js	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:56	14312/14312	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2018:44:38%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/js/custom.js	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/js/custom.js	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:57	49347/49347	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2018:44:38%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/js/custom-switcher.min.js	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/js/custom-switcher.min.js	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:58	2595453/2595453	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Oct%202024%2017:32:32%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
18:54:58	534248/534248	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2018:41:26%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/libs/apexcharts/apexcharts.min.js	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/libs/apexcharts/apexcharts.min.js	(from https://spruko.com/demo/tailwind/xintra/dist/html/index9.html)
